open,high,low,close,volume,marketCap,timestamp
0.02,0.03,0.01,0.02,42387995.26,0.0,2017-10-01T23:59:59.999Z
0.02,0.03,0.02,0.02,48840281.31,532874980.33,2017-10-02T23:59:59.999Z
0.02,0.02,0.02,0.02,14490878.09,460096091.14,2017-10-03T23:59:59.999Z
0.02,0.02,0.02,0.02,7660921.01,484013915.14,2017-10-04T23:59:59.999Z
0.02,0.02,0.02,0.02,4732440.02,473999524.14,2017-10-05T23:59:59.999Z
0.02,0.02,0.02,0.02,6644500.43,410473572.51,2017-10-06T23:59:59.999Z
0.02,0.02,0.02,0.02,6316577.18,462742854.71,2017-10-07T23:59:59.999Z
0.02,0.02,0.02,0.02,6586090.51,452496214.8,2017-10-08T23:59:59.999Z
0.02,0.02,0.02,0.02,3971478.45,488284329.55,2017-10-09T23:59:59.999Z
0.02,0.02,0.02,0.02,2321042.32,475384087.44,2017-10-10T23:59:59.999Z
0.02,0.02,0.02,0.02,3052920.26,494214207.7,2017-10-11T23:59:59.999Z
0.02,0.02,0.02,0.02,7316790.29,573701996.35,2017-10-12T23:59:59.999Z
0.02,0.03,0.02,0.03,13198309.38,737288740.46,2017-10-13T23:59:59.999Z
0.03,0.03,0.02,0.03,23560480.46,711994376.85,2017-10-14T23:59:59.999Z
0.03,0.03,0.02,0.03,6009972.93,659002006.23,2017-10-15T23:59:59.999Z
0.03,0.03,0.02,0.02,5243762.69,635191285.84,2017-10-16T23:59:59.999Z
0.02,0.03,0.02,0.02,5970570.77,598481928.9,2017-10-17T23:59:59.999Z
0.02,0.02,0.02,0.02,1983680.05,587595874.68,2017-10-18T23:59:59.999Z
0.02,0.02,0.02,0.02,2456735.91,594199218.38,2017-10-19T23:59:59.999Z
0.02,0.03,0.02,0.03,7356861.92,670274295.38,2017-10-20T23:59:59.999Z
0.03,0.03,0.02,0.02,4535788.85,625704288.58,2017-10-21T23:59:59.999Z
0.02,0.02,0.02,0.02,2486811.51,610138804.66,2017-10-22T23:59:59.999Z
0.02,0.02,0.02,0.02,2991960.87,561409853.38,2017-10-23T23:59:59.999Z
0.02,0.02,0.02,0.02,6456452.57,599767801.8,2017-10-24T23:59:59.999Z
0.02,0.02,0.02,0.02,2178086.73,606894076.73,2017-10-25T23:59:59.999Z
0.02,0.02,0.02,0.02,2062185.94,595083404.47,2017-10-26T23:59:59.999Z
0.02,0.02,0.02,0.02,2157594.5,587631262.47,2017-10-27T23:59:59.999Z
0.02,0.02,0.02,0.02,1498501.03,577732769.85,2017-10-28T23:59:59.999Z
0.02,0.03,0.02,0.02,4088714.68,638949960.52,2017-10-29T23:59:59.999Z
0.02,0.02,0.02,0.02,3258872.71,638689015.32,2017-10-30T23:59:59.999Z
0.02,0.03,0.02,0.03,6270990.73,677502755.41,2017-10-31T23:59:59.999Z
0.03,0.03,0.02,0.02,8054579.79,511601707.27,2017-11-01T23:59:59.999Z
0.02,0.02,0.02,0.02,5300533.06,474937298.75,2017-11-02T23:59:59.999Z
0.02,0.02,0.02,0.02,2432941.58,503285875.3,2017-11-03T23:59:59.999Z
0.02,0.02,0.02,0.02,2263220.47,491917411.99,2017-11-04T23:59:59.999Z
0.02,0.02,0.02,0.02,2064469.72,460933144.27,2017-11-05T23:59:59.999Z
0.02,0.02,0.02,0.02,3955509.61,488765598.73,2017-11-06T23:59:59.999Z
0.02,0.02,0.02,0.02,2187372.95,495644748.04,2017-11-07T23:59:59.999Z
0.02,0.02,0.02,0.02,5489266.32,562978876.26,2017-11-08T23:59:59.999Z
0.02,0.03,0.02,0.03,16145790.2,716906314.05,2017-11-09T23:59:59.999Z
0.03,0.03,0.02,0.02,5809890.96,603693149.6,2017-11-10T23:59:59.999Z
0.02,0.03,0.02,0.02,4743393.64,609931944.66,2017-11-11T23:59:59.999Z
0.02,0.02,0.02,0.02,6242176.11,533013264.42,2017-11-12T23:59:59.999Z
0.02,0.02,0.02,0.02,3791558.0,574052389.86,2017-11-13T23:59:59.999Z
0.02,0.02,0.02,0.02,2600557.27,583050113.96,2017-11-14T23:59:59.999Z
0.02,0.02,0.02,0.02,5816485.75,581437423.29,2017-11-15T23:59:59.999Z
0.02,0.02,0.02,0.02,4148107.6,606813141.07,2017-11-16T23:59:59.999Z
0.02,0.02,0.02,0.02,3039121.94,567429878.94,2017-11-17T23:59:59.999Z
0.02,0.02,0.02,0.02,2484991.1,579728241.94,2017-11-18T23:59:59.999Z
0.02,0.02,0.02,0.02,4006656.49,617441543.73,2017-11-19T23:59:59.999Z
0.02,0.03,0.02,0.03,13776641.96,653340533.01,2017-11-20T23:59:59.999Z
0.03,0.03,0.02,0.02,4972135.62,625715028.43,2017-11-21T23:59:59.999Z
0.02,0.02,0.02,0.02,4207258.48,630599013.63,2017-11-22T23:59:59.999Z
