open,high,low,close,volume,marketCap,timestamp
103.85,104.37,101.39,103.01,0.0,1142502669.62,2013-04-28T23:59:59.999Z
103.12,113.13,102.78,110.87,0.0,1230167112.45,2013-04-29T23:59:59.999Z
109.97,112.21,102.38,106.16,0.0,1178259603.64,2013-04-30T23:59:59.999Z
105.59,106.27,81.83,88.87,0.0,986747640.34,2013-05-01T23:59:59.999Z
88.31,95.3,70.02,79.83,0.0,886651108.01,2013-05-02T23:59:59.999Z
81.32,82.76,60.54,74.81,0.0,831161157.78,2013-05-03T23:59:59.999Z
74.81,87.7,70.54,85.79,0.0,953493908.72,2013-05-04T23:59:59.999Z
86.1,90.6,81.71,88.39,0.0,982759990.47,2013-05-05T23:59:59.999Z
88.42,95.04,81.3,85.61,0.0,952217016.09,2013-05-06T23:59:59.999Z
85.89,86.8,74.76,85.32,0.0,949264366.06,2013-05-07T23:59:59.999Z
83.82,88.54,83.82,86.85,0.0,966694097.7,2013-05-08T23:59:59.999Z
86.01,86.2,83.01,85.6,0.0,953149507.67,2013-05-09T23:59:59.999Z
86.58,93.64,85.62,89.95,0.0,1001979491.9,2013-05-10T23:59:59.999Z
90.59,91.35,86.98,88.7,0.0,988460198.14,2013-05-11T23:59:59.999Z
89.01,90.4,87.31,88.52,0.0,986747710.13,2013-05-12T23:59:59.999Z
88.55,91.55,88.31,90.99,0.0,1014738555.07,2013-05-13T23:59:59.999Z
90.88,92.28,84.93,85.89,0.0,958153202.51,2013-05-14T23:59:59.999Z
86.13,89.54,80.02,88.31,0.0,985483077.55,2013-05-15T23:59:59.999Z
88.72,92.25,87.15,92.25,0.0,1029770690.54,2013-05-16T23:59:59.999Z
91.78,97.28,90.51,95.51,0.0,1066555808.91,2013-05-17T23:59:59.999Z
96.18,97.55,95.25,96.18,0.0,1074435004.56,2013-05-18T23:59:59.999Z
95.96,96.96,93.12,95.01,0.0,1061685905.57,2013-05-19T23:59:59.999Z
95.52,96.39,93.66,95.13,0.0,1063321559.45,2013-05-20T23:59:59.999Z
94.66,95.42,94.03,95.33,0.0,1065953017.84,2013-05-21T23:59:59.999Z
95.12,95.98,94.43,95.89,0.0,1072584359.79,2013-05-22T23:59:59.999Z
96.42,98.87,95.88,98.68,0.0,1104268114.73,2013-05-23T23:59:59.999Z
97.75,103.59,97.3,103.09,0.0,1153990225.21,2013-05-24T23:59:59.999Z
102.94,103.03,99.69,102.07,0.0,1143045810.52,2013-05-25T23:59:59.999Z
102.08,105.18,101.02,103.23,0.0,1156452447.8,2013-05-26T23:59:59.999Z
103.26,104.78,96.45,100.35,0.0,1124626428.66,2013-05-27T23:59:59.999Z
100.4,101.03,97.18,99.81,0.0,1118909071.57,2013-05-28T23:59:59.999Z
100.39,103.18,99.35,102.96,0.0,1154657258.75,2013-05-29T23:59:59.999Z
102.15,102.15,98.09,99.48,0.0,1116130331.78,2013-05-30T23:59:59.999Z
98.78,99.62,96.94,98.93,0.0,1110415062.5,2013-05-31T23:59:59.999Z
99.13,99.87,97.88,99.5,0.0,1117288314.74,2013-06-01T23:59:59.999Z
99.5,99.58,88.53,94.11,0.0,1057204694.04,2013-06-02T23:59:59.999Z
94.31,94.31,89.31,94.1,0.0,1057593392.79,2013-06-03T23:59:59.999Z
92.39,94.77,91.14,92.91,0.0,1044794570.71,2013-06-04T23:59:59.999Z
92.91,94.49,91.76,93.1,0.0,1047284356.59,2013-06-05T23:59:59.999Z
93.15,94.06,89.59,90.17,0.0,1014717047.45,2013-06-06T23:59:59.999Z
89.88,89.9,80.4,84.23,0.0,948295412.48,2013-06-07T23:59:59.999Z
84.0,84.31,81.2,81.95,0.0,922979886.49,2013-06-08T23:59:59.999Z
81.64,82.47,66.97,75.67,0.0,852548240.64,2013-06-09T23:59:59.999Z
76.05,83.37,71.94,80.53,0.0,907647239.89,2013-06-10T23:59:59.999Z
80.23,82.68,78.46,82.15,0.0,926278458.81,2013-06-11T23:59:59.999Z
81.87,83.97,80.17,81.24,0.0,916374861.04,2013-06-12T23:59:59.999Z
81.49,82.63,75.31,77.91,0.0,879260863.05,2013-06-13T23:59:59.999Z
77.82,78.39,73.37,74.85,0.0,845032037.19,2013-06-14T23:59:59.999Z
74.93,77.7,73.43,74.92,0.0,846130378.97,2013-06-15T23:59:59.999Z
74.78,76.13,74.14,74.56,0.0,842429395.89,2013-06-16T23:59:59.999Z
74.87,76.6,74.19,76.21,0.0,861374763.94,2013-06-17T23:59:59.999Z
76.3,83.15,75.61,80.38,0.0,908708329.59,2013-06-18T23:59:59.999Z
79.93,82.3,78.96,80.83,0.0,914054982.08,2013-06-19T23:59:59.999Z
81.5,86.05,80.93,82.93,0.0,938120093.35,2013-06-20T23:59:59.999Z
84.12,86.92,81.39,82.77,0.0,936669869.61,2013-06-21T23:59:59.999Z
83.49,83.84,81.98,82.58,0.0,934891595.5,2013-06-22T23:59:59.999Z
82.5,82.96,81.0,82.04,0.0,929185276.4,2013-06-23T23:59:59.999Z
82.3,82.63,77.02,78.36,0.0,887755110.72,2013-06-24T23:59:59.999Z
77.75,81.08,76.92,79.16,0.0,897179300.89,2013-06-25T23:59:59.999Z
79.01,80.66,78.6,79.52,0.0,901594433.4,2013-06-26T23:59:59.999Z
79.9,79.9,77.67,77.93,0.0,883819638.09,2013-06-27T23:59:59.999Z
78.02,78.02,70.81,72.58,0.0,823533325.9,2013-06-28T23:59:59.999Z
72.75,76.85,71.48,73.01,0.0,828682287.26,2013-06-29T23:59:59.999Z
73.01,75.41,72.42,74.26,0.0,843100277.73,2013-06-30T23:59:59.999Z
74.93,75.05,66.32,67.66,0.0,768512484.63,2013-07-01T23:59:59.999Z
