open,high,low,close,volume,marketCap,timestamp
2.59,3.24,2.31,2.54,150429.33,152517900.97,2015-08-07T23:59:59.999Z
2.55,2.55,0.65,0.69,614518.28,41461028.38,2015-08-08T23:59:59.999Z
0.64,0.8,0.57,0.64,485069.73,38646954.24,2015-08-09T23:59:59.999Z
0.65,0.67,0.58,0.65,369817.5,39071415.64,2015-08-10T23:59:59.999Z
0.64,1.03,0.6,0.97,1327917.95,58603456.56,2015-08-11T23:59:59.999Z
0.96,1.17,0.8,1.1,1947672.52,66695355.0,2015-08-12T23:59:59.999Z
1.1,1.76,1.05,1.64,3646750.92,99137036.55,2015-08-13T23:59:59.999Z
1.62,2.03,1.57,1.64,4157279.9,99222092.35,2015-08-14T23:59:59.999Z
1.62,1.69,1.41,1.52,2299774.92,92107327.33,2015-08-15T23:59:59.999Z
1.52,1.53,0.98,1.41,3196893.85,85442518.55,2015-08-16T23:59:59.999Z
1.43,1.43,1.07,1.08,1750928.26,78672824.89,2015-08-17T23:59:59.999Z
1.1,1.2,0.98,0.98,1341592.92,71219444.72,2015-08-18T23:59:59.999Z
1.06,1.2,1.06,1.14,1347696.77,82849466.3,2015-08-19T23:59:59.999Z
1.12,1.38,1.12,1.32,2556418.55,95605375.92,2015-08-20T23:59:59.999Z
1.32,1.39,1.2,1.24,1799617.1,90233175.06,2015-08-21T23:59:59.999Z
1.23,1.3,1.19,1.21,832435.04,87958063.26,2015-08-22T23:59:59.999Z
1.21,1.24,1.14,1.19,1395101.83,86288932.01,2015-08-23T23:59:59.999Z
1.18,1.2,1.08,1.08,813402.52,78722413.64,2015-08-24T23:59:59.999Z
1.06,1.07,0.97,0.98,1128630.63,71596125.8,2015-08-25T23:59:59.999Z
0.98,1.04,0.92,1.0,915252.04,73091047.58,2015-08-26T23:59:59.999Z
1.03,1.05,1.0,1.01,605682.28,73674327.76,2015-08-27T23:59:59.999Z
1.02,1.07,1.0,1.06,642234.88,77162879.57,2015-08-28T23:59:59.999Z
1.07,1.08,1.03,1.06,335817.68,77038732.06,2015-08-29T23:59:59.999Z
1.06,1.22,1.05,1.18,1196680.98,85970074.35,2015-08-30T23:59:59.999Z
1.18,1.25,1.07,1.21,1291433.16,88313381.13,2015-08-31T23:59:59.999Z
1.21,1.24,1.19,1.2,693987.35,87772877.17,2015-09-01T23:59:59.999Z
1.2,1.2,1.12,1.15,782719.87,83597151.94,2015-09-02T23:59:59.999Z
1.16,1.17,1.08,1.13,626942.83,82256436.71,2015-09-03T23:59:59.999Z
1.14,1.17,1.11,1.15,426610.61,83591457.71,2015-09-04T23:59:59.999Z
1.15,1.2,1.14,1.2,402091.81,87585297.72,2015-09-05T23:59:59.999Z
1.2,1.23,1.16,1.16,441108.22,84802442.2,2015-09-06T23:59:59.999Z
1.16,1.17,1.11,1.12,438853.09,81684227.36,2015-09-07T23:59:59.999Z
1.12,1.15,1.1,1.11,383518.87,81333012.91,2015-09-08T23:59:59.999Z
1.11,1.13,1.07,1.08,327482.81,78712496.39,2015-09-09T23:59:59.999Z
1.07,1.09,1.01,1.04,589873.62,75830127.86,2015-09-10T23:59:59.999Z
1.03,1.04,0.83,0.87,1722010.46,63707352.7,2015-09-11T23:59:59.999Z
0.87,0.98,0.86,0.92,681395.55,67017707.44,2015-09-12T23:59:59.999Z
0.92,0.92,0.8,0.83,568223.36,60409833.02,2015-09-13T23:59:59.999Z
0.83,0.84,0.77,0.77,653341.27,56496636.35,2015-09-14T23:59:59.999Z
0.77,0.92,0.77,0.84,622193.72,61160025.43,2015-09-15T23:59:59.999Z
0.84,0.85,0.8,0.8,546125.8,58940625.7,2015-09-16T23:59:59.999Z
0.8,0.81,0.74,0.77,795200.14,56718221.71,2015-09-17T23:59:59.999Z
0.77,0.78,0.73,0.75,424846.15,54845167.95,2015-09-18T23:59:59.999Z
0.75,0.81,0.74,0.78,342194.71,57200452.74,2015-09-19T23:59:59.999Z
0.78,0.84,0.77,0.83,449477.41,60856117.3,2015-09-20T23:59:59.999Z
0.83,0.85,0.78,0.81,375554.87,59713856.25,2015-09-21T23:59:59.999Z
0.82,0.82,0.77,0.81,436065.78,59147513.72,2015-09-22T23:59:59.999Z
0.81,0.82,0.8,0.8,180391.29,58997480.42,2015-09-23T23:59:59.999Z
0.8,0.81,0.71,0.73,753178.08,53414882.46,2015-09-24T23:59:59.999Z
